titulo,link,data,Is_Edital,Campus_Citado,Topico_Classificado
IFPI oferta vagas para Estágio Curricular Obrigatório,https://www.ifpi.edu.br/noticias/ifpi-oferta-vagas-para-estagio-curricular-obrigatorio,21/10/2025,True,IFPI - Geral,Ensino e Cursos
Cocal divulga resultado de seleção para monitor leitor,https://www.ifpi.edu.br/cocal/noticias/cocal-divulga-resultado-de-selecao-para-monitor-leitor,21/10/2025,True,IFPI - Campus Cocal,Outros/Geral
Campus Cocal divulga aprovados para monitorias,https://www.ifpi.edu.br/cocal/noticias/campus-cocal-divulga-aprovados-para-monitorias,21/10/2025,True,IFPI - Campus Cocal,Pesquisa e Inovação
Cocal divulga aprovados para curso de Inglês,https://www.ifpi.edu.br/cocal/noticias/cocal-divulga-aprovados-para-curso-de-ingles,21/10/2025,False,IFPI - Campus Cocal,Ensino e Cursos
Egressa de especialização da UAB publica artigo sobre Libras,https://www.ifpi.edu.br/noticias/egressa-de-especializacao-da-uab-publica-artigo-sobre-libras,21/10/2025,False,IFPI - Geral,Pós-Graduação
CVT em Agroecologia participa de Congresso Brasileiro de Agroecologia,https://www.ifpi.edu.br/campomaior/noticias/cvt-em-agroecologia-participa-de-congresso-brasileiro-de-agroecologia,21/10/2025,False,IFPI - Geral,Concursos e Seleção de Servidores
Alunos de Licenciatura Intercultural Indígena do IFPI participam da Semana dos Povos Originários no IFMA,https://www.ifpi.edu.br/teresinacentral/noticias/alunos-de-licenciatura-intercultural-indigena-do-ifpi-participam-da-semana-dos-povos-originarios-no-ifma,21/10/2025,False,IFPI - Geral,Concursos e Seleção de Servidores
Cuidado com a saúde mental é tema do Projeto Repensar no Teresina Central,https://www.ifpi.edu.br/teresinacentral/noticias/cuidado-com-a-saude-mental-e-tema-do-projeto-repensar-no-teresina-central,21/10/2025,False,IFPI - Campus Teresina Central,Concursos e Seleção de Servidores
Campus Piripiri divulga Resultado Preliminar da Seleção de Monitores,https://www.ifpi.edu.br/piripiri/noticias/campus-piripiri-divulga-resultado-preliminar-da-selecao-de-monitores,21/10/2025,True,IFPI - Geral,Ensino e Cursos
Divulgado resultado para Especialização Educação do Campo e Quilombola,https://www.ifpi.edu.br/noticias/divulgado-resultado-para-especializacao-educacao-do-campo-e-quilombola,21/10/2025,True,IFPI - Geral,Pós-Graduação
CPA aplica questionário de Avaliação Institucional 2025,https://www.ifpi.edu.br/noticias/cpa-aplica-questionario-de-avaliacao-institucional-2025,21/10/2025,False,IFPI - Geral,Ensino e Cursos
Campus Floriano divulga locais de prova do Exame Nacional de Acesso,https://www.ifpi.edu.br/floriano/noticias/campus-floriano-divulga-locais-de-prova-do-exame-nacional-de-acesso,21/10/2025,False,IFPI - Campus Floriano,Pós-Graduação
Campus Pedro II homologa resultado final da seleção de monitores,https://www.ifpi.edu.br/pedroii/noticias/campus-pedro-ii-homologa-resultado-final-da-selecao-de-monitores,21/10/2025,True,IFPI - Geral,Outros/Geral
Teresina Central recebe Mostra de Curta Metragens de Animação,https://www.ifpi.edu.br/teresinacentral/noticias/teresina-central-recebe-mostra-de-curta-metragens-de-animacao,20/10/2025,False,IFPI - Campus Teresina Central,Extensão e Cultura
Teresina Zona Sul divulga aprovados para cursos técnicos,https://www.ifpi.edu.br/teresinazonasul/noticias/teresina-zona-sul-divulga-aprovados-para-cursos-tecnicos-2,20/10/2025,True,IFPI - Campus Teresina Zona Sul,Ensino e Cursos
Cocal convoca classificados para monitoria de apoio pedagógico,https://www.ifpi.edu.br/cocal/noticias/cocal-convoca-classificados-para-monitoria-de-apoio-pedagogico,20/10/2025,True,Não Mapeado,Outros/Geral
Teresina Central realiza Oficina de Libras sobre Alimentos,https://www.ifpi.edu.br/teresinacentral/noticias/teresina-central-realiza-oficina-de-libras-sobre-alimentos,20/10/2025,False,IFPI - Campus Teresina Central,Outros/Geral
"Projeto ""Integridade em Movimento"" realiza ação nos polos da UAB/IFPI",https://www.ifpi.edu.br/noticias/projeto-integridade-em-movimento-realiza-acao-nos-polos-da-uab-ifpi,20/10/2025,False,IFPI - Geral,Pós-Graduação
Alunos do Bacharelado do Campus Corrente participam de atividade no SEBRAE,https://www.ifpi.edu.br/corrente/noticias/alunos-do-bacharelado-do-campus-corrente-participam-de-atividade-no-sebrae,20/10/2025,False,IFPI - Campus Corrente,Extensão e Cultura
DGN em Cena celebra relação entre professores e alunos no Campus Teresina Central,https://www.ifpi.edu.br/teresinacentral/noticias/dgn-em-cena-celebra-relacao-entre-professores-e-alunos-no-campus-teresina-central,20/10/2025,False,IFPI - Campus Teresina Central,Concursos e Seleção de Servidores
Estudantes de José de Freitas visitam o Campus Teresina Central,https://www.ifpi.edu.br/teresinacentral/noticias/estudantes-de-jose-de-freitas-visitam-o-campus-teresina-central,20/10/2025,False,IFPI - Campus Teresina Central,Concursos e Seleção de Servidores
Corrente divulga resultado preliminar para bolsas de monitoria,https://www.ifpi.edu.br/corrente/noticias/corrente-divulga-resultado-preliminar-para-bolsas-de-monitoria,20/10/2025,True,IFPI - Geral,Assistência Estudantil
IFPI lança projeto de  Difusão de Galinhas Caipiras,https://www.ifpi.edu.br/noticias/ifpi-lanca-projeto-de-difusao-de-galinhas-caipiras,20/10/2025,False,IFPI - Geral,Pesquisa e Inovação
Divulgada lista de aprovados em 3ª chamada para o curso técnico em Defesa Civil,https://www.ifpi.edu.br/teresinacentral/noticias/divulgada-a-lista-de-aprovados-em-3a-chamada-para-o-curso-tecnico-em-defesa-civil,17/10/2025,True,IFPI - EaD,Concursos e Seleção de Servidores
Cocal divulga preliminar em seleção para monitorias,https://www.ifpi.edu.br/cocal/noticias/cocal-divulga-preliminar-em-selecao-para-monitorias,17/10/2025,True,Não Mapeado,Pesquisa e Inovação
Campus Floriano desenvolve projeto para divulgar cursos técnicos,https://www.ifpi.edu.br/floriano/noticias/campus-floriano-desenvolve-projeto-para-divulgar-cursos-tecnicos,17/10/2025,False,IFPI - Campus Floriano,Concursos e Seleção de Servidores
Picos oferta vagas em curso de Eletricista Instalador Predial,https://www.ifpi.edu.br/picos/noticias/picos-oferta-vagas-em-curso-de-eletricista-instalador-predial,17/10/2025,True,IFPI - Campus Picos,Ensino e Cursos
Campus Pedro II divulga preliminar em seleção de monitores,https://www.ifpi.edu.br/pedroii/noticias/campus-pedro-ii-divulga-preliminar-em-selecao-de-monitores,17/10/2025,True,Não Mapeado,Outros/Geral
IFPI divulga resultado final do Programa Bolsa Permanência,https://www.ifpi.edu.br/noticias/ifpi-divulga-resultado-final-do-programa-bolsa-permanencia,17/10/2025,True,IFPI - Geral,Assistência Estudantil
IFPI seleciona supervisor de Química para o PIBID,https://www.ifpi.edu.br/paulistana/noticias/ifpi-seleciona-supervisor-de-quimica-para-o-pibid,16/10/2025,True,IFPI - Geral,Assistência Estudantil
