titulo,link,data,texto
IFPI oferta vagas para Estágio Curricular Obrigatório,https://www.ifpi.edu.br/noticias/ifpi-oferta-vagas-para-estagio-curricular-obrigatorio,21/10/2025,"O Instituto Federal do Piauí divulga Edital de Chamada Pública, de fluxo contínuo, com oferta de vagas para Estágio Curricular Obrigatório, não remunerado, destinado a alunos de cursos superiores. Podem se inscrever estudantes com matrícula e frequência regular em curso superior em instituições de ensino reconhecidas pelo MEC; matriculados em ano/período com previsão de estágio curricular obrigatório conforme Projeto Pedagógico do Curso; que possuam  disponibilidade de carga horária para cumprir o estágio em um turno, com carga horária de 4h diárias e até 20 horas semanais, 4h diárias e até 20 horas semanais; e que estejam cursando entre o 2° e 7° período para curso de 8 períodos (4 anos) e entre o 2° e 8° período para curso de 10 períodos (5 anos). As inscrições serão realizadas gratuitamente, de 22 a 31 de outubro, exclusivamente através de formulário disponível na plataformaoportunidades.ifpi.edu.br. A seleção será através da análise do Histórico Escolar. Confira: Edital Tutorial de inscrição na plataforma Oportunidades "
Cocal divulga resultado de seleção para monitor leitor,https://www.ifpi.edu.br/cocal/noticias/cocal-divulga-resultado-de-selecao-para-monitor-leitor,21/10/2025,"O Núcleo de Atendimento às Pessoas com Necessidades Educacionais Específicas (NAPNE) do Campus Cocal divulga o resultado da seleção de monitoria pedagógica, para auxiliar estudante com baixa visão. Confira aqui."
Campus Cocal divulga aprovados para monitorias,https://www.ifpi.edu.br/cocal/noticias/campus-cocal-divulga-aprovados-para-monitorias,21/10/2025,O Campus Cocal divulga o resultado final da seleção de monitores bolsistas e voluntários para atuarem na Unidade de Aulas Práticas e Pesquisa. Confira os aprovados.
Cocal divulga aprovados para curso de Inglês,https://www.ifpi.edu.br/cocal/noticias/cocal-divulga-aprovados-para-curso-de-ingles,21/10/2025,"O Campus Cocal divulga os aprovados para o Curso Básico de Inglês, que será realizado às quartas-feiras, de 15h às 18h. As matrículas devem ser feitas de forma on-line nos dias 21 e 22  de outubro, e as aulas iniciam já no dia 22. Veja os aprovados. Faça sua matrícula aqui."
Egressa de especialização da UAB publica artigo sobre Libras,https://www.ifpi.edu.br/noticias/egressa-de-especializacao-da-uab-publica-artigo-sobre-libras,21/10/2025,"Maria Jéssica Lima Borges, egressa do curso de Especialização em Educação Especial e Inclusiva do polo Valença do Piauí, ofertado na modalidade EAD pela UAB/IFPI, teve o artigo “LIBRAS NA EDUCAÇÃO NO CAMPO: UM PASSO PARA A INCLUSÃO”, publicado no periódico científico do Centro Universitário Santo Agostinho - Revista UNIFSA, qualis B2, na edição de outubro de 2025. O artigo é resultado do trabalho de conclusão de curso da egressa e teve como objetivo analisar as principais discussões que cercam a inclusão de LIBRAS na Educação no Campo, discutir os benefícios dessa inclusão e a importância da formação de professores para o uso de LIBRAS na Educação Básica. Também participaram da publicação, o seu orientador de TCC, professor Denilson Pereira da Silva e a pedagoga e especialista em LIBRAS pela UFPI, Lais Alves de Carvalho. “Isso mostra a qualidade do ensino ofertado pelo IFPI na modalidade de Educação à Distância e sua contribuição para a sociedade”, disse o orientador. Confira a publicação. "
CVT em Agroecologia participa de Congresso Brasileiro de Agroecologia,https://www.ifpi.edu.br/campomaior/noticias/cvt-em-agroecologia-participa-de-congresso-brasileiro-de-agroecologia,21/10/2025,"O Centro Vocacional Tecnológico em Agroecologia do Instituto Federal do Piauí (CVT-IFPI), sob a coordenação da professora Dayse Batista dos Santos, participou do XIII Congresso Brasileiro de Agroecologia, realizado entre os dias 15 e 18 de outubro de 2025, na cidade de Juazeiro (BA), em parceria com a Rede Piauiense de Agroecologia (ARREPIA). A delegação do Piauí participou ativamente das diversas atividades do congresso, incluindo as conferências de abertura e encerramento, plenárias, oficinas dos saberes, a Feira e Troca de Sementes Crioulas, apresentações nos Tapiris, além de momentos de cultura e integração com representantes de diferentes regiões do Brasil. Durante o evento, o CVT-IFPI apresentou três trabalhos nos Tapiris dos Saberes: “Contribuições da Semana Nacional de Ciência e Tecnologia para a Popularização da Ciência entre Estudantes de Campo Maior e Cocal de Telha-PI” e “Mostra 'Caatinga Sustentável' como Estratégia de Educação Científica: A Contribuição do IF Baiano no Contexto do Semiárido”, ambos vinculados ao projeto CNPq nº 441060/2024-2, aprovado pela Chamada CNPq/MCTI nº 08/2024; além do relato de experiência “Placas de Honra ao Mérito: Um Tributo do IFPI a Referências Mundiais da Agroecologia”, oriundo do projeto CNPq nº 401634/2024-8, aprovado pela Chamada CNPq/Ministério da Saúde nº 12/2024. O CVT em Agroecologia  também participou da comissão do projeto “Intercâmbio de Saberes em Processamento de Alimentos: Piauí e Bahia”, atividade que faz parte do projeto nº 422122/2025-4  aprovado através da Chamada CNPq/FNDCT/MCTI/MEC/CAPES Nº 37/2024. Ao lado do CVT-IFPI, integraram a delegação piauiense no congresso movimentos sociais e instituições como o MST, a CONAQ-PI, o MPA-PI, o projeto Quitanda da Secretaria de Agricultura Familiar do Estado do Piauí, além de núcleos de agroecologia como o NEA-CTT da UFPI, com estudantes do curso de Bacharelado em Agroecologia, e o NEA Cajuí da UESPI. Dentre os temas em destaque estiveram o feminismo, a certifica"
Alunos de Licenciatura Intercultural Indígena do IFPI participam da Semana dos Povos Originários no IFMA,https://www.ifpi.edu.br/teresinacentral/noticias/alunos-de-licenciatura-intercultural-indigena-do-ifpi-participam-da-semana-dos-povos-originarios-no-ifma,21/10/2025,"O Campus Teresina Central do Instituto Federal do Piauí, por meio do curso de Licenciatura Intercultural Indígena, participou da VII Semana dos Povos Originários, realizada no dia 17 de outubro, no Campus Timon do Instituto Federal do Maranhão (IFMA). A professora do IFPI, Ariane Lima, explica que a atividade foi uma ação conjunta entre as duas instituições. “Nossos estudantes marcaram presença na abertura do evento e na Roda de Conversa, compartilhando saberes, experiências e contribuições fundamentais para o fortalecimento do diálogo intercultural”. Um dos destaques da Semana foi a exposição ""Povos Indígenas: Arte e Resistência"", com curadoria da professora Ariane, que levou ao público expressões artísticas, objetos culturais e narrativas que celebram a identidade, a luta e a resistência dos povos indígenas. Segundo ela, a participação da Licenciatura Intercultural Indígena, em parceria com o IFPI e o IFMA, reafirma o compromisso com a valorização das culturas originárias, a promoção da educação intercultural e o fortalecimento dos vínculos entre instituições públicas de ensino."
Cuidado com a saúde mental é tema do Projeto Repensar no Teresina Central,https://www.ifpi.edu.br/teresinacentral/noticias/cuidado-com-a-saude-mental-e-tema-do-projeto-repensar-no-teresina-central,21/10/2025,"No último dia 16 de outubro, o auditório Maestrina Cloris de Oliveira do Campus Teresina Central do Instituto Federal do Piauí (IFPI) recebeu a comunidade acadêmica para mais uma edição do Projeto Repensar, que em 2025 traz a temática “Escutar para cuidar: Saúde Mental como compromisso coletivo”. O evento teve início com uma apresentação musical do professor Francisco Adelino Frazão,que emocionou o público e preparou o ambiente para uma tarde de aprendizado e reflexão. Em seguida, aconteceram duas palestras que abordaram aspectos essenciais do cuidado com a saúde mental. A primeira, intitulada “Saúde Mental e Bem-Estar: Aprendendo a lidar com a ansiedade e depressão”, foi ministrada pelo psicólogo Anderson Lima, que destacou estratégias práticas para o enfrentamento de questões emocionais no cotidiano. Na sequência, o psicólogo Adriano Mesquita apresentou a palestra “Saúde Mental no Ambiente Educacional: Desafios, consequências e estratégias de cuidado”, promovendo um debate sobre o papel das instituições de ensino na promoção da saúde mental. O evento proporcionou aos participantes receber informações sobre os fatores associados ao comportamento e à ideação suicida. Dados apresentados pelos psicólogos, mostraram que as condições de saúde mental são responsáveis por 16% de carga global de doenças e lesões em pessoas com idade entre 10 e 19 anos. Abordaram ainda fatores como pressão acadêmica, bullying e cyberbullying, violência psicológica e física amplificada pelas redes sociais, dificuldade de aprendizagem e uso excessivo de tecnologias digitais. Segundo a coordenadora de Extensão Tecnológica, Wanessa Mascarenhas, o Projeto Repensar 2025 reafirmou seu compromisso em fomentar espaços de diálogo e acolhimento, reforçando a importância do cuidado coletivo e da escuta ativa no ambiente escolar. “Foi uma tarde enriquecedora, marcada pela participação de alunos e professores, que demonstraram grande interesse e envolvimento com o tema”."
Campus Piripiri divulga Resultado Preliminar da Seleção de Monitores,https://www.ifpi.edu.br/piripiri/noticias/campus-piripiri-divulga-resultado-preliminar-da-selecao-de-monitores,21/10/2025,"O Campus Piripiri do IFPI divulga o Resultado Preliminar da Seleção de Monitores. O prazo para interposição de recursos segue até 21 de outubro de 2025, por meio do e-mail dens.capir@ifpi.edu.br, com o assunto“Interposição de recurso – Seleção de Monitores 2025”. Veja oresultado."
Divulgado resultado para Especialização Educação do Campo e Quilombola,https://www.ifpi.edu.br/noticias/divulgado-resultado-para-especializacao-educacao-do-campo-e-quilombola,21/10/2025,O Instituto Federal do Piauí (IFPI) divulgou errata e resultado final do processo seletivo para o curso de pós-graduação lato sensu Especialização Educação do Campo e Quilombola (Ação Escola da Terra: Programa Práticas Pedagógicas em Classes Multisseriadas da Educação Escolar do Campo). Errata Resultado Final
